actuals,distances,time_taken,cpu_memory_usage,ram_usage
0,,0.27118992805480957,66.7,96.265625
0,0.07569706070478177,0.21450090408325195,68.8,0.828125
1,0.013888382991157688,0.18436789512634277,0.0,0.0
0,0.11763811229080534,0.19320011138916016,0.0,14.328125
1,0.020386846603280162,0.21012210845947266,72.1,0.0
1,0.017395255641928786,0.19063091278076172,64.3,0.0
1,0.005154029468741106,0.191817045211792,0.0,0.0
0,0.11527847909642219,0.19260597229003906,0.0,0.0
1,0.009430952952494298,0.19643092155456543,0.0,8.71875
1,0.022480861618768166,0.19422101974487305,0.0,0.140625
1,0.024796349610871182,0.19402503967285156,67.6,3.515625
0,0.09167920049626643,0.2270030975341797,69.2,0.0
0,0.1101119269864308,0.19253993034362793,71.6,0.0
0,0.12015879226435622,0.1946277618408203,0.0,0.0
0,0.06004108704458644,0.19323420524597168,0.0,0.0
1,0.023214107797086325,0.20119786262512207,79.5,0.046875
0,0.09424749241063246,0.19872498512268066,70.3,0.0
1,0.02362956942050043,0.19731807708740234,67.5,0.015625
0,0.09331123800256635,0.19255304336547852,67.5,0.0
0,0.1394402210429515,0.19126510620117188,0.0,0.03125
1,0.020829031781078977,0.3136429786682129,74.3,0.015625
0,0.0852829171851468,0.19550108909606934,69.7,1.984375
0,0.07884140148631602,0.20280718803405762,72.9,0.015625
0,0.09609968109553468,0.20323991775512695,0.0,0.0
1,0.02315354010358539,0.21110105514526367,0.0,0.0625
1,0.05143783716947192,0.19751310348510742,69.5,0.015625
0,0.08112210511357698,0.19742202758789062,61.0,0.015625
1,0.03920335030606481,0.20443010330200195,58.5,5.5
0,,0.18374204635620117,57.7,0.0
0,0.11361839949780506,0.20035696029663086,58.6,0.0
1,0.017202399224148235,0.19753193855285645,55.7,0.03125
1,0.01550552516259529,0.19969511032104492,57.7,0.0
0,0.08294881037304025,0.19613313674926758,54.0,0.0
1,0.01572545887121013,0.19492626190185547,58.2,5.5
0,0.08120565953206105,0.20810699462890625,58.7,0.015625
0,0.06772740123807874,0.22842097282409668,61.1,7.09375
0,,0.18086886405944824,52.8,0.015625
0,0.08655271417788502,0.19634509086608887,56.7,0.0
0,0.10019470554981547,0.19339323043823242,57.5,0.0
1,0.012305819696990294,0.23299479484558105,67.2,-60.125
1,0.04384627122169327,0.24199509620666504,65.3,-4.453125
0,0.06706695812680241,0.33446717262268066,64.6,-4.0
0,0.10654753035367936,0.23948001861572266,66.1,-6.09375
0,0.0800971164545814,0.20106124877929688,56.4,-33.75
0,0.10758872805345632,0.2090919017791748,63.8,-14.21875
1,0.01990684020808753,0.24820899963378906,66.3,-5.421875
0,0.08516762931065702,0.1994187831878662,58.0,-13.21875
1,0.033312895938051645,0.1954822540283203,54.4,5.15625
0,0.09205596525421256,0.19953703880310059,0.0,0.546875
0,0.08308895690599838,0.1965029239654541,55.3,0.46875
1,0.029478966241162197,0.2023770809173584,68.3,7.609375
1,0.03456732551878616,0.1948709487915039,0.0,0.28125
0,0.078824585702437,0.1989879608154297,0.0,5.46875
0,0.1105043338163263,0.1970500946044922,0.0,0.234375
0,0.10914459316688141,0.20040297508239746,54.4,0.3125
1,0.004822738719692077,0.19562697410583496,56.6,2.46875
0,0.1267379174204687,0.2069551944732666,53.0,1.109375
0,0.11614745922585856,0.19820308685302734,52.5,3.203125
0,0.07369899934474888,0.20536398887634277,55.2,0.8125
1,0.06656687167831543,0.20566701889038086,56.0,5.703125
1,0.009148016299260209,0.2012007236480713,55.2,0.140625
0,0.07215067109251494,0.27779507637023926,52.2,5.34375
1,0.008970865582744292,0.20162391662597656,0.0,0.15625
1,0.0166094853733193,0.19455599784851074,0.0,0.0
0,0.054104740315598865,0.19956612586975098,53.0,0.0625
0,0.09727413750912173,0.2018420696258545,51.8,0.84375
1,0.04202013034045715,0.2035360336303711,53.7,0.0625
0,0.05866123823716518,0.19439220428466797,52.5,0.078125
1,0.026129047672324157,0.19501018524169922,54.4,5.578125
0,0.06840359848063537,0.20388197898864746,52.1,0.125
0,0.07481900604148795,0.19771575927734375,52.5,0.078125
1,0.020184732566015384,0.19630908966064453,53.8,0.0
1,0.017045070315620303,0.20456600189208984,0.0,0.0
1,0.010384529783835417,0.20598387718200684,0.0,0.40625
1,0.02638813709917931,0.19904780387878418,52.6,0.0
1,,0.18090486526489258,52.4,0.015625
0,0.09961753054248701,0.19494390487670898,52.2,0.0
1,0.02361371694395875,0.19928503036499023,52.2,0.0
1,0.01673300685475332,0.20082998275756836,0.0,0.015625
0,0.07037121566666982,0.20069289207458496,0.0,1.25
1,0.015166308470940137,0.19834017753601074,52.7,0.71875
1,0.014808968908592623,0.19911932945251465,53.1,0.0
0,0.0755116700922781,0.2745940685272217,52.7,0.0
0,0.10318170910676039,0.22066211700439453,58.6,1.890625
0,0.09649074092822851,0.19492292404174805,56.4,0.0
1,0.02088386088340166,0.20661091804504395,55.0,0.015625
1,0.03340995955192683,0.1996011734008789,52.1,0.0
0,0.08779825931260354,0.20083308219909668,52.5,0.0
1,0.04330894356504977,0.21552729606628418,62.8,0.59375
0,0.0870301499733549,0.2509331703186035,66.0,0.625
0,0.11697073557706417,0.25292396545410156,63.9,0.0
0,0.05301635644565983,0.24135303497314453,65.8,0.0
1,0.005336853157366095,0.24425315856933594,69.6,-41.203125
0,0.0819898824404307,0.2081160545349121,0.0,-27.765625
0,0.06599535117489364,0.20621895790100098,0.0,-29.0
1,0.024145930056147402,0.2632167339324951,63.3,22.828125
0,0.0919976044880173,0.20048093795776367,52.2,9.5
1,0.026852722364966497,0.20939278602600098,55.6,13.03125
1,0.0063600411689915815,0.20290493965148926,54.0,4.9375
0,0.07147715135815025,0.20981669425964355,56.7,11.140625
1,0.015916160286995606,0.197005033493042,54.7,8.328125
0,0.06531158624351441,0.20541095733642578,52.7,0.140625
1,0.020252376128979455,0.28669095039367676,53.5,0.15625
1,0.01341129161081922,0.19502592086791992,52.2,1.578125
1,0.010795042948574585,0.20012211799621582,53.1,0.0
0,0.08473400388895624,0.195512056350708,58.5,0.09375
1,0.03618328123098691,0.1953721046447754,53.1,0.0
1,0.02067561472582946,0.2058711051940918,53.3,0.140625
0,0.08498351537411275,0.2007308006286621,63.0,0.125
1,0.008763750740558462,0.2008821964263916,51.6,0.140625
1,0.034399276996623374,0.22426080703735352,70.0,5.53125
1,0.027350768812454573,0.19281625747680664,55.4,4.953125
1,0.01876471743278718,0.206223726272583,0.0,0.078125
1,0.025765183502698408,0.20310091972351074,0.0,0.09375
1,0.037497934739776695,0.20717787742614746,0.0,0.125
1,0.009067563925408972,0.20025396347045898,54.4,0.0625
0,0.11224296840850023,0.21466326713562012,53.2,0.140625
0,0.09097368135194872,0.20562195777893066,54.8,3.671875
0,0.07102621448285196,0.2057490348815918,55.2,0.0625
